#node	identifier	category	term ID	term description
ACR3	3702.O49285	InterPro	IPR040217	ACT domain-containing protein ACR1-12
ACR3	3702.O49285	InterPro	IPR045865	ACT-like domain
BOR1	3702.Q8VYR7	GO Process	GO:0006810	Transport
BOR1	3702.Q8VYR7	GO Process	GO:0006811	Ion transport
BOR1	3702.Q8VYR7	GO Process	GO:0006820	Anion transport
BOR1	3702.Q8VYR7	GO Process	GO:0007154	Cell communication
BOR1	3702.Q8VYR7	GO Process	GO:0009605	Response to external stimulus
BOR1	3702.Q8VYR7	GO Process	GO:0009987	Cellular process
BOR1	3702.Q8VYR7	GO Process	GO:0009991	Response to extracellular stimulus
BOR1	3702.Q8VYR7	GO Process	GO:0010036	Response to boron-containing substance
BOR1	3702.Q8VYR7	GO Process	GO:0015698	Inorganic anion transport
BOR1	3702.Q8VYR7	GO Process	GO:0031667	Response to nutrient levels
BOR1	3702.Q8VYR7	GO Process	GO:0031668	Cellular response to extracellular stimulus
BOR1	3702.Q8VYR7	GO Process	GO:0031669	Cellular response to nutrient levels
BOR1	3702.Q8VYR7	GO Process	GO:0034220	Ion transmembrane transport
BOR1	3702.Q8VYR7	GO Process	GO:0035445	Borate transmembrane transport
BOR1	3702.Q8VYR7	GO Process	GO:0042221	Response to chemical
BOR1	3702.Q8VYR7	GO Process	GO:0042592	Homeostatic process
BOR1	3702.Q8VYR7	GO Process	GO:0046713	Borate transport
BOR1	3702.Q8VYR7	GO Process	GO:0048878	Chemical homeostasis
BOR1	3702.Q8VYR7	GO Process	GO:0050801	Ion homeostasis
BOR1	3702.Q8VYR7	GO Process	GO:0050896	Response to stimulus
BOR1	3702.Q8VYR7	GO Process	GO:0051179	Localization
BOR1	3702.Q8VYR7	GO Process	GO:0051234	Establishment of localization
BOR1	3702.Q8VYR7	GO Process	GO:0051716	Cellular response to stimulus
BOR1	3702.Q8VYR7	GO Process	GO:0055085	Transmembrane transport
BOR1	3702.Q8VYR7	GO Process	GO:0065007	Biological regulation
BOR1	3702.Q8VYR7	GO Process	GO:0065008	Regulation of biological quality
BOR1	3702.Q8VYR7	GO Process	GO:0070887	Cellular response to chemical stimulus
BOR1	3702.Q8VYR7	GO Process	GO:0071496	Cellular response to external stimulus
BOR1	3702.Q8VYR7	GO Process	GO:0080029	Cellular response to boron-containing substance levels
BOR1	3702.Q8VYR7	GO Process	GO:0098656	Anion transmembrane transport
BOR1	3702.Q8VYR7	GO Process	GO:0098660	Inorganic ion transmembrane transport
BOR1	3702.Q8VYR7	GO Process	GO:0098661	Inorganic anion transmembrane transport
BOR1	3702.Q8VYR7	GO Function	GO:0005215	Transporter activity
BOR1	3702.Q8VYR7	GO Function	GO:0005452	Inorganic anion exchanger activity
BOR1	3702.Q8VYR7	GO Function	GO:0008509	Anion transmembrane transporter activity
BOR1	3702.Q8VYR7	GO Function	GO:0015075	Ion transmembrane transporter activity
BOR1	3702.Q8VYR7	GO Function	GO:0015103	Inorganic anion transmembrane transporter activity
BOR1	3702.Q8VYR7	GO Function	GO:0015291	Secondary active transmembrane transporter activity
BOR1	3702.Q8VYR7	GO Function	GO:0015297	Antiporter activity
BOR1	3702.Q8VYR7	GO Function	GO:0015301	Anion:anion antiporter activity
BOR1	3702.Q8VYR7	GO Function	GO:0015318	Inorganic molecular entity transmembrane transporter activity
BOR1	3702.Q8VYR7	GO Function	GO:0022804	Active transmembrane transporter activity
BOR1	3702.Q8VYR7	GO Function	GO:0022853	Active ion transmembrane transporter activity
BOR1	3702.Q8VYR7	GO Function	GO:0022857	Transmembrane transporter activity
BOR1	3702.Q8VYR7	GO Function	GO:0046715	Active borate transmembrane transporter activity
BOR1	3702.Q8VYR7	GO Function	GO:0140323	Solute:anion antiporter activity
BOR1	3702.Q8VYR7	GO Component	GO:0005622	Intracellular anatomical structure
BOR1	3702.Q8VYR7	GO Component	GO:0005737	Cytoplasm
BOR1	3702.Q8VYR7	GO Component	GO:0005768	Endosome
BOR1	3702.Q8VYR7	GO Component	GO:0005773	Vacuole
BOR1	3702.Q8VYR7	GO Component	GO:0005774	Vacuolar membrane
BOR1	3702.Q8VYR7	GO Component	GO:0005886	Plasma membrane
BOR1	3702.Q8VYR7	GO Component	GO:0010008	Endosome membrane
BOR1	3702.Q8VYR7	GO Component	GO:0012505	Endomembrane system
BOR1	3702.Q8VYR7	GO Component	GO:0012506	Vesicle membrane
BOR1	3702.Q8VYR7	GO Component	GO:0016020	Membrane
BOR1	3702.Q8VYR7	GO Component	GO:0016021	Integral component of membrane
BOR1	3702.Q8VYR7	GO Component	GO:0030659	Cytoplasmic vesicle membrane
BOR1	3702.Q8VYR7	GO Component	GO:0031090	Organelle membrane
BOR1	3702.Q8VYR7	GO Component	GO:0031224	Intrinsic component of membrane
BOR1	3702.Q8VYR7	GO Component	GO:0031410	Cytoplasmic vesicle
BOR1	3702.Q8VYR7	GO Component	GO:0031982	Vesicle
BOR1	3702.Q8VYR7	GO Component	GO:0043226	Organelle
BOR1	3702.Q8VYR7	GO Component	GO:0043227	Membrane-bounded organelle
BOR1	3702.Q8VYR7	GO Component	GO:0043229	Intracellular organelle
BOR1	3702.Q8VYR7	GO Component	GO:0043231	Intracellular membrane-bounded organelle
BOR1	3702.Q8VYR7	GO Component	GO:0071944	Cell periphery
BOR1	3702.Q8VYR7	GO Component	GO:0097708	Intracellular vesicle
BOR1	3702.Q8VYR7	GO Component	GO:0098588	Bounding membrane of organelle
BOR1	3702.Q8VYR7	GO Component	GO:0110165	Cellular anatomical entity
BOR1	3702.Q8VYR7	STRING clusters	CL:23523	Exocyst, and Purine nucleobase transmembrane transport
BOR1	3702.Q8VYR7	STRING clusters	CL:23524	Exocyst, and Purine nucleobase transmembrane transport
BOR1	3702.Q8VYR7	STRING clusters	CL:23525	Exocyst, and Purine nucleobase transmembrane transport
BOR1	3702.Q8VYR7	STRING clusters	CL:23621	Mixed, incl. Active borate transmembrane transporter activity, and Protein C2-DOMAIN ABA-RELATED
BOR1	3702.Q8VYR7	Reactome	MAP-382551	Transport of small molecules
BOR1	3702.Q8VYR7	Reactome	MAP-425393	Transport of inorganic cations/anions and amino acids/oligopeptides
BOR1	3702.Q8VYR7	Reactome	MAP-425407	SLC-mediated transmembrane transport
BOR1	3702.Q8VYR7	COMPARTMENTS	GOCC:0005886	Plasma membrane
BOR1	3702.Q8VYR7	COMPARTMENTS	GOCC:0016020	Membrane
BOR1	3702.Q8VYR7	COMPARTMENTS	GOCC:0071944	Cell periphery
BOR1	3702.Q8VYR7	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
BOR1	3702.Q8VYR7	UniProt Keywords	KW-0025	Alternative splicing
BOR1	3702.Q8VYR7	UniProt Keywords	KW-0039	Anion exchange
BOR1	3702.Q8VYR7	UniProt Keywords	KW-0406	Ion transport
BOR1	3702.Q8VYR7	UniProt Keywords	KW-0472	Membrane
BOR1	3702.Q8VYR7	UniProt Keywords	KW-0812	Transmembrane
BOR1	3702.Q8VYR7	UniProt Keywords	KW-0813	Transport
BOR1	3702.Q8VYR7	UniProt Keywords	KW-0926	Vacuole
BOR1	3702.Q8VYR7	UniProt Keywords	KW-0967	Endosome
BOR1	3702.Q8VYR7	UniProt Keywords	KW-1133	Transmembrane helix
BOR1	3702.Q8VYR7	Pfam	PF00955	HCO3- transporter family
BOR1	3702.Q8VYR7	InterPro	IPR003020	Bicarbonate transporter, eukaryotic
BOR1	3702.Q8VYR7	InterPro	IPR011531	Bicarbonate transporter-like, transmembrane domain
BOR4	3702.Q9XI23	GO Process	GO:0006810	Transport
BOR4	3702.Q9XI23	GO Process	GO:0006811	Ion transport
BOR4	3702.Q9XI23	GO Process	GO:0006820	Anion transport
BOR4	3702.Q9XI23	GO Process	GO:0007154	Cell communication
BOR4	3702.Q9XI23	GO Process	GO:0009605	Response to external stimulus
BOR4	3702.Q9XI23	GO Process	GO:0009987	Cellular process
BOR4	3702.Q9XI23	GO Process	GO:0009991	Response to extracellular stimulus
BOR4	3702.Q9XI23	GO Process	GO:0010036	Response to boron-containing substance
BOR4	3702.Q9XI23	GO Process	GO:0015698	Inorganic anion transport
BOR4	3702.Q9XI23	GO Process	GO:0031667	Response to nutrient levels
BOR4	3702.Q9XI23	GO Process	GO:0031668	Cellular response to extracellular stimulus
BOR4	3702.Q9XI23	GO Process	GO:0031669	Cellular response to nutrient levels
BOR4	3702.Q9XI23	GO Process	GO:0034220	Ion transmembrane transport
BOR4	3702.Q9XI23	GO Process	GO:0035445	Borate transmembrane transport
BOR4	3702.Q9XI23	GO Process	GO:0042221	Response to chemical
BOR4	3702.Q9XI23	GO Process	GO:0042592	Homeostatic process
BOR4	3702.Q9XI23	GO Process	GO:0046713	Borate transport
BOR4	3702.Q9XI23	GO Process	GO:0048878	Chemical homeostasis
BOR4	3702.Q9XI23	GO Process	GO:0050801	Ion homeostasis
BOR4	3702.Q9XI23	GO Process	GO:0050896	Response to stimulus
BOR4	3702.Q9XI23	GO Process	GO:0051179	Localization
BOR4	3702.Q9XI23	GO Process	GO:0051234	Establishment of localization
BOR4	3702.Q9XI23	GO Process	GO:0051716	Cellular response to stimulus
BOR4	3702.Q9XI23	GO Process	GO:0055085	Transmembrane transport
BOR4	3702.Q9XI23	GO Process	GO:0065007	Biological regulation
BOR4	3702.Q9XI23	GO Process	GO:0065008	Regulation of biological quality
BOR4	3702.Q9XI23	GO Process	GO:0070887	Cellular response to chemical stimulus
BOR4	3702.Q9XI23	GO Process	GO:0071496	Cellular response to external stimulus
BOR4	3702.Q9XI23	GO Process	GO:0080029	Cellular response to boron-containing substance levels
BOR4	3702.Q9XI23	GO Process	GO:0098656	Anion transmembrane transport
BOR4	3702.Q9XI23	GO Process	GO:0098660	Inorganic ion transmembrane transport
BOR4	3702.Q9XI23	GO Process	GO:0098661	Inorganic anion transmembrane transport
BOR4	3702.Q9XI23	GO Function	GO:0005215	Transporter activity
BOR4	3702.Q9XI23	GO Function	GO:0005452	Inorganic anion exchanger activity
BOR4	3702.Q9XI23	GO Function	GO:0008509	Anion transmembrane transporter activity
BOR4	3702.Q9XI23	GO Function	GO:0015075	Ion transmembrane transporter activity
BOR4	3702.Q9XI23	GO Function	GO:0015103	Inorganic anion transmembrane transporter activity
BOR4	3702.Q9XI23	GO Function	GO:0015291	Secondary active transmembrane transporter activity
BOR4	3702.Q9XI23	GO Function	GO:0015297	Antiporter activity
BOR4	3702.Q9XI23	GO Function	GO:0015301	Anion:anion antiporter activity
BOR4	3702.Q9XI23	GO Function	GO:0015318	Inorganic molecular entity transmembrane transporter activity
BOR4	3702.Q9XI23	GO Function	GO:0015562	Efflux transmembrane transporter activity
BOR4	3702.Q9XI23	GO Function	GO:0022804	Active transmembrane transporter activity
BOR4	3702.Q9XI23	GO Function	GO:0022853	Active ion transmembrane transporter activity
BOR4	3702.Q9XI23	GO Function	GO:0022857	Transmembrane transporter activity
BOR4	3702.Q9XI23	GO Function	GO:0080139	Borate efflux transmembrane transporter activity
BOR4	3702.Q9XI23	GO Function	GO:0140323	Solute:anion antiporter activity
BOR4	3702.Q9XI23	GO Component	GO:0005886	Plasma membrane
BOR4	3702.Q9XI23	GO Component	GO:0016020	Membrane
BOR4	3702.Q9XI23	GO Component	GO:0016021	Integral component of membrane
BOR4	3702.Q9XI23	GO Component	GO:0031224	Intrinsic component of membrane
BOR4	3702.Q9XI23	GO Component	GO:0071944	Cell periphery
BOR4	3702.Q9XI23	GO Component	GO:0110165	Cellular anatomical entity
BOR4	3702.Q9XI23	STRING clusters	CL:34446	Mixed, incl. Major intrinsic protein, and Aldo/keto reductase family
BOR4	3702.Q9XI23	STRING clusters	CL:34448	Mixed, incl. Major intrinsic protein, and Aldo/keto reductase family
BOR4	3702.Q9XI23	STRING clusters	CL:34449	Mixed, incl. Major intrinsic protein, and Aldo/keto reductase family
BOR4	3702.Q9XI23	STRING clusters	CL:34450	Mixed, incl. Major intrinsic protein, and Aldo/keto reductase family
BOR4	3702.Q9XI23	STRING clusters	CL:34617	Mixed, incl. Anion exchange, and Active borate transmembrane transporter activity
BOR4	3702.Q9XI23	STRING clusters	CL:34618	Mixed, incl. Anion exchange, and Active borate transmembrane transporter activity
BOR4	3702.Q9XI23	STRING clusters	CL:34621	Mixed, incl. Anion exchange, and Active borate transmembrane transporter activity
BOR4	3702.Q9XI23	STRING clusters	CL:34637	Borate transmembrane transport, and Anion exchange
BOR4	3702.Q9XI23	Reactome	MAP-382551	Transport of small molecules
BOR4	3702.Q9XI23	Reactome	MAP-425393	Transport of inorganic cations/anions and amino acids/oligopeptides
BOR4	3702.Q9XI23	Reactome	MAP-425407	SLC-mediated transmembrane transport
BOR4	3702.Q9XI23	COMPARTMENTS	GOCC:0005886	Plasma membrane
BOR4	3702.Q9XI23	COMPARTMENTS	GOCC:0016020	Membrane
BOR4	3702.Q9XI23	COMPARTMENTS	GOCC:0071944	Cell periphery
BOR4	3702.Q9XI23	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
BOR4	3702.Q9XI23	UniProt Keywords	KW-0039	Anion exchange
BOR4	3702.Q9XI23	UniProt Keywords	KW-0406	Ion transport
BOR4	3702.Q9XI23	UniProt Keywords	KW-0472	Membrane
BOR4	3702.Q9XI23	UniProt Keywords	KW-0812	Transmembrane
BOR4	3702.Q9XI23	UniProt Keywords	KW-0813	Transport
BOR4	3702.Q9XI23	UniProt Keywords	KW-1133	Transmembrane helix
BOR4	3702.Q9XI23	Pfam	PF00955	HCO3- transporter family
BOR4	3702.Q9XI23	InterPro	IPR003020	Bicarbonate transporter, eukaryotic
BOR4	3702.Q9XI23	InterPro	IPR011531	Bicarbonate transporter-like, transmembrane domain
BOR7	3702.Q9SUU1	GO Process	GO:0006810	Transport
BOR7	3702.Q9SUU1	GO Process	GO:0006811	Ion transport
BOR7	3702.Q9SUU1	GO Process	GO:0006820	Anion transport
BOR7	3702.Q9SUU1	GO Process	GO:0009987	Cellular process
BOR7	3702.Q9SUU1	GO Process	GO:0015698	Inorganic anion transport
BOR7	3702.Q9SUU1	GO Process	GO:0034220	Ion transmembrane transport
BOR7	3702.Q9SUU1	GO Process	GO:0042592	Homeostatic process
BOR7	3702.Q9SUU1	GO Process	GO:0048878	Chemical homeostasis
BOR7	3702.Q9SUU1	GO Process	GO:0050801	Ion homeostasis
BOR7	3702.Q9SUU1	GO Process	GO:0051179	Localization
BOR7	3702.Q9SUU1	GO Process	GO:0051234	Establishment of localization
BOR7	3702.Q9SUU1	GO Process	GO:0055085	Transmembrane transport
BOR7	3702.Q9SUU1	GO Process	GO:0065007	Biological regulation
BOR7	3702.Q9SUU1	GO Process	GO:0065008	Regulation of biological quality
BOR7	3702.Q9SUU1	GO Process	GO:0098656	Anion transmembrane transport
BOR7	3702.Q9SUU1	GO Function	GO:0005215	Transporter activity
BOR7	3702.Q9SUU1	GO Function	GO:0005452	Inorganic anion exchanger activity
BOR7	3702.Q9SUU1	GO Function	GO:0008509	Anion transmembrane transporter activity
BOR7	3702.Q9SUU1	GO Function	GO:0015075	Ion transmembrane transporter activity
BOR7	3702.Q9SUU1	GO Function	GO:0015103	Inorganic anion transmembrane transporter activity
BOR7	3702.Q9SUU1	GO Function	GO:0015291	Secondary active transmembrane transporter activity
BOR7	3702.Q9SUU1	GO Function	GO:0015297	Antiporter activity
BOR7	3702.Q9SUU1	GO Function	GO:0015301	Anion:anion antiporter activity
BOR7	3702.Q9SUU1	GO Function	GO:0015318	Inorganic molecular entity transmembrane transporter activity
BOR7	3702.Q9SUU1	GO Function	GO:0022804	Active transmembrane transporter activity
BOR7	3702.Q9SUU1	GO Function	GO:0022853	Active ion transmembrane transporter activity
BOR7	3702.Q9SUU1	GO Function	GO:0022857	Transmembrane transporter activity
BOR7	3702.Q9SUU1	GO Function	GO:0140323	Solute:anion antiporter activity
BOR7	3702.Q9SUU1	GO Component	GO:0005886	Plasma membrane
BOR7	3702.Q9SUU1	GO Component	GO:0016020	Membrane
BOR7	3702.Q9SUU1	GO Component	GO:0016021	Integral component of membrane
BOR7	3702.Q9SUU1	GO Component	GO:0031224	Intrinsic component of membrane
BOR7	3702.Q9SUU1	GO Component	GO:0071944	Cell periphery
BOR7	3702.Q9SUU1	GO Component	GO:0110165	Cellular anatomical entity
BOR7	3702.Q9SUU1	STRING clusters	CL:34446	Mixed, incl. Major intrinsic protein, and Aldo/keto reductase family
BOR7	3702.Q9SUU1	STRING clusters	CL:34448	Mixed, incl. Major intrinsic protein, and Aldo/keto reductase family
BOR7	3702.Q9SUU1	STRING clusters	CL:34449	Mixed, incl. Major intrinsic protein, and Aldo/keto reductase family
BOR7	3702.Q9SUU1	STRING clusters	CL:34450	Mixed, incl. Major intrinsic protein, and Aldo/keto reductase family
BOR7	3702.Q9SUU1	STRING clusters	CL:34617	Mixed, incl. Anion exchange, and Active borate transmembrane transporter activity
BOR7	3702.Q9SUU1	STRING clusters	CL:34618	Mixed, incl. Anion exchange, and Active borate transmembrane transporter activity
BOR7	3702.Q9SUU1	STRING clusters	CL:34621	Mixed, incl. Anion exchange, and Active borate transmembrane transporter activity
BOR7	3702.Q9SUU1	STRING clusters	CL:34637	Borate transmembrane transport, and Anion exchange
BOR7	3702.Q9SUU1	Reactome	MAP-382551	Transport of small molecules
BOR7	3702.Q9SUU1	Reactome	MAP-425393	Transport of inorganic cations/anions and amino acids/oligopeptides
BOR7	3702.Q9SUU1	Reactome	MAP-425407	SLC-mediated transmembrane transport
BOR7	3702.Q9SUU1	COMPARTMENTS	GOCC:0005622	Intracellular
BOR7	3702.Q9SUU1	COMPARTMENTS	GOCC:0005737	Cytoplasm
BOR7	3702.Q9SUU1	COMPARTMENTS	GOCC:0005856	Cytoskeleton
BOR7	3702.Q9SUU1	COMPARTMENTS	GOCC:0005929	Cilium
BOR7	3702.Q9SUU1	COMPARTMENTS	GOCC:0005930	Axoneme
BOR7	3702.Q9SUU1	COMPARTMENTS	GOCC:0032838	Plasma membrane bounded cell projection cytoplasm
BOR7	3702.Q9SUU1	COMPARTMENTS	GOCC:0032991	Protein-containing complex
BOR7	3702.Q9SUU1	COMPARTMENTS	GOCC:0042995	Cell projection
BOR7	3702.Q9SUU1	COMPARTMENTS	GOCC:0043226	Organelle
BOR7	3702.Q9SUU1	COMPARTMENTS	GOCC:0043228	Non-membrane-bounded organelle
BOR7	3702.Q9SUU1	COMPARTMENTS	GOCC:0043229	Intracellular organelle
BOR7	3702.Q9SUU1	COMPARTMENTS	GOCC:0043232	Intracellular non-membrane-bounded organelle
BOR7	3702.Q9SUU1	COMPARTMENTS	GOCC:0097014	Ciliary plasm
BOR7	3702.Q9SUU1	COMPARTMENTS	GOCC:0099568	Cytoplasmic region
BOR7	3702.Q9SUU1	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
BOR7	3702.Q9SUU1	COMPARTMENTS	GOCC:0120025	Plasma membrane bounded cell projection
BOR7	3702.Q9SUU1	COMPARTMENTS	GOCC:0120228	Outer dynein arm docking complex
BOR7	3702.Q9SUU1	UniProt Keywords	KW-0039	Anion exchange
BOR7	3702.Q9SUU1	UniProt Keywords	KW-0406	Ion transport
BOR7	3702.Q9SUU1	UniProt Keywords	KW-0472	Membrane
BOR7	3702.Q9SUU1	UniProt Keywords	KW-0812	Transmembrane
BOR7	3702.Q9SUU1	UniProt Keywords	KW-0813	Transport
BOR7	3702.Q9SUU1	UniProt Keywords	KW-1133	Transmembrane helix
BOR7	3702.Q9SUU1	Pfam	PF00955	HCO3- transporter family
BOR7	3702.Q9SUU1	InterPro	IPR003020	Bicarbonate transporter, eukaryotic
BOR7	3702.Q9SUU1	InterPro	IPR011531	Bicarbonate transporter-like, transmembrane domain
NIP1-2	3702.Q8LFP7	GO Process	GO:0006810	Transport
NIP1-2	3702.Q8LFP7	GO Process	GO:0006811	Ion transport
NIP1-2	3702.Q8LFP7	GO Process	GO:0006820	Anion transport
NIP1-2	3702.Q8LFP7	GO Process	GO:0009987	Cellular process
NIP1-2	3702.Q8LFP7	GO Process	GO:0015698	Inorganic anion transport
NIP1-2	3702.Q8LFP7	GO Process	GO:0015700	Arsenite transport
NIP1-2	3702.Q8LFP7	GO Process	GO:0034220	Ion transmembrane transport
NIP1-2	3702.Q8LFP7	GO Process	GO:0042221	Response to chemical
NIP1-2	3702.Q8LFP7	GO Process	GO:0046685	Response to arsenic-containing substance
NIP1-2	3702.Q8LFP7	GO Process	GO:0050896	Response to stimulus
NIP1-2	3702.Q8LFP7	GO Process	GO:0051179	Localization
NIP1-2	3702.Q8LFP7	GO Process	GO:0051234	Establishment of localization
NIP1-2	3702.Q8LFP7	GO Process	GO:0055085	Transmembrane transport
NIP1-2	3702.Q8LFP7	GO Process	GO:0080170	Hydrogen peroxide transmembrane transport
NIP1-2	3702.Q8LFP7	GO Process	GO:0098656	Anion transmembrane transport
NIP1-2	3702.Q8LFP7	GO Function	GO:0005215	Transporter activity
NIP1-2	3702.Q8LFP7	GO Function	GO:0008509	Anion transmembrane transporter activity
NIP1-2	3702.Q8LFP7	GO Function	GO:0015075	Ion transmembrane transporter activity
NIP1-2	3702.Q8LFP7	GO Function	GO:0015103	Inorganic anion transmembrane transporter activity
NIP1-2	3702.Q8LFP7	GO Function	GO:0015105	Arsenite transmembrane transporter activity
NIP1-2	3702.Q8LFP7	GO Function	GO:0015267	Channel activity
NIP1-2	3702.Q8LFP7	GO Function	GO:0015318	Inorganic molecular entity transmembrane transporter activity
NIP1-2	3702.Q8LFP7	GO Function	GO:0022803	Passive transmembrane transporter activity
NIP1-2	3702.Q8LFP7	GO Function	GO:0022857	Transmembrane transporter activity
NIP1-2	3702.Q8LFP7	GO Component	GO:0005886	Plasma membrane
NIP1-2	3702.Q8LFP7	GO Component	GO:0016020	Membrane
NIP1-2	3702.Q8LFP7	GO Component	GO:0016021	Integral component of membrane
NIP1-2	3702.Q8LFP7	GO Component	GO:0031224	Intrinsic component of membrane
NIP1-2	3702.Q8LFP7	GO Component	GO:0071944	Cell periphery
NIP1-2	3702.Q8LFP7	GO Component	GO:0110165	Cellular anatomical entity
NIP1-2	3702.Q8LFP7	STRING clusters	CL:34446	Mixed, incl. Major intrinsic protein, and Aldo/keto reductase family
NIP1-2	3702.Q8LFP7	STRING clusters	CL:34448	Mixed, incl. Major intrinsic protein, and Aldo/keto reductase family
NIP1-2	3702.Q8LFP7	STRING clusters	CL:34449	Mixed, incl. Major intrinsic protein, and Aldo/keto reductase family
NIP1-2	3702.Q8LFP7	STRING clusters	CL:34450	Mixed, incl. Major intrinsic protein, and Aldo/keto reductase family
NIP1-2	3702.Q8LFP7	STRING clusters	CL:34451	Mixed, incl. Major intrinsic protein, and Aldo/keto reductase family
NIP1-2	3702.Q8LFP7	STRING clusters	CL:34452	Major intrinsic protein, and OPT oligopeptide transporter protein
NIP1-2	3702.Q8LFP7	STRING clusters	CL:34454	Major intrinsic protein
NIP1-2	3702.Q8LFP7	STRING clusters	CL:34456	Major intrinsic protein
NIP1-2	3702.Q8LFP7	STRING clusters	CL:34457	Major intrinsic protein
NIP1-2	3702.Q8LFP7	STRING clusters	CL:34483	Water channel activity, and Arsenite transmembrane transporter activity
NIP1-2	3702.Q8LFP7	STRING clusters	CL:34484	Water channel activity
NIP1-2	3702.Q8LFP7	Reactome	MAP-382551	Transport of small molecules
NIP1-2	3702.Q8LFP7	Reactome	MAP-432047	Passive transport by Aquaporins
NIP1-2	3702.Q8LFP7	Reactome	MAP-445717	Aquaporin-mediated transport
NIP1-2	3702.Q8LFP7	COMPARTMENTS	GOCC:0005886	Plasma membrane
NIP1-2	3702.Q8LFP7	COMPARTMENTS	GOCC:0016020	Membrane
NIP1-2	3702.Q8LFP7	COMPARTMENTS	GOCC:0071944	Cell periphery
NIP1-2	3702.Q8LFP7	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
NIP1-2	3702.Q8LFP7	UniProt Keywords	KW-0007	Acetylation
NIP1-2	3702.Q8LFP7	UniProt Keywords	KW-0472	Membrane
NIP1-2	3702.Q8LFP7	UniProt Keywords	KW-0597	Phosphoprotein
NIP1-2	3702.Q8LFP7	UniProt Keywords	KW-0677	Repeat
NIP1-2	3702.Q8LFP7	UniProt Keywords	KW-0812	Transmembrane
NIP1-2	3702.Q8LFP7	UniProt Keywords	KW-0813	Transport
NIP1-2	3702.Q8LFP7	UniProt Keywords	KW-1133	Transmembrane helix
NIP1-2	3702.Q8LFP7	Pfam	PF00230	Major intrinsic protein
NIP1-2	3702.Q8LFP7	InterPro	IPR000425	Major intrinsic protein
NIP1-2	3702.Q8LFP7	InterPro	IPR022357	Major intrinsic protein, conserved site
NIP1-2	3702.Q8LFP7	InterPro	IPR023271	Aquaporin-like
NIP1-2	3702.Q8LFP7	InterPro	IPR034294	Aquaporin transporter
NIP2	3702.Q8GT74	GO Function	GO:0005488	Binding
